;2022-06-30;2022-03-31;2021-12-31;2021-09-30
Intangible Assets;1377000000.0;1313000000.0;1417000000.0;1549000000.0
Total Liab;99766000000.0;103092000000.0;107633000000.0;102836000000.0
Total Stockholder Equity;255419000000.0;254004000000.0;251635000000.0;244567000000.0
Other Current Liab;28053000000.0;31674000000.0;29208000000.0;31814000000.0
Total Assets;355185000000.0;357096000000.0;359268000000.0;347403000000.0
Common Stock;64402000000.0;62832000000.0;61774000000.0;61193000000.0
Other Current Assets;8321000000.0;6892000000.0;7054000000.0;6029000000.0
Retained Earnings;196845000000.0;195221000000.0;191484000000.0;183782000000.0
Other Liab;11981000000.0;14990000000.0;17173000000.0;15295000000.0
Good Will;23949000000.0;23010000000.0;22956000000.0;22623000000.0
Gains Losses Not Affecting Retained Earnings;-5828000000.0;-4049000000.0;-1623000000.0;-408000000.0
Other Assets;7202000000.0;7166000000.0;6645000000.0;5028000000.0
Cash;17936000000.0;20886000000.0;20945000000.0;23719000000.0
Total Current Liabilities;61354000000.0;61948000000.0;64254000000.0;61782000000.0
Deferred Long Term Asset Charges;1490000000.0;1388000000.0;1284000000.0;1195000000.0
Other Stockholder Equity;-5828000000.0;-4049000000.0;-1623000000.0;-408000000.0
Property Plant Equipment;119621000000.0;117210000000.0;110558000000.0;107549000000.0
Total Current Assets;172371000000.0;177853000000.0;188143000000.0;184110000000.0
Long Term Investments;30665000000.0;30544000000.0;29549000000.0;26544000000.0
Net Tangible Assets;230093000000.0;229681000000.0;227262000000.0;220395000000.0
Short Term Investments;107061000000.0;113084000000.0;118704000000.0;118284000000.0
Net Receivables;37073000000.0;35622000000.0;40270000000.0;34800000000.0
Long Term Debt;12850000000.0;12847000000.0;12844000000.0;12841000000.0
Inventory;1980000000.0;1369000000.0;1170000000.0;1278000000.0
Accounts Payable;4409000000.0;3436000000.0;6037000000.0;4616000000.0
