;2022-06-30;2022-03-31;2021-12-31;2021-09-30
Investments;3483000000.0;553000000.0;-4348000000.0;-3360000000.0
Change To Liabilities;1287000000.0;-2467000000.0;1525000000.0;510000000.0
Total Cashflows From Investing Activities;-4187000000.0;-9051000000.0;-11016000000.0;-10050000000.0
Net Borrowings;-356000000.0;2000000.0;-115000000.0;-42000000.0
Total Cash From Financing Activities;-17817000000.0;-16214000000.0;-16511000000.0;-15254000000.0
Change To Operating Activities;538000000.0;-4820000000.0;5438000000.0;1664000000.0
Net Income;16002000000.0;16436000000.0;20642000000.0;18936000000.0
Change In Cash;-2950000000.0;-59000000.0;-2774000000.0;89000000.0
Repurchase Of Stock;-15197000000.0;-13300000000.0;-13473000000.0;-12610000000.0
Effect Of Exchange Rate;-368000000.0;100000000.0;-181000000.0;-146000000.0
Total Cash From Operating Activities;19422000000.0;25106000000.0;24934000000.0;25539000000.0
Depreciation;3899000000.0;3782000000.0;3439000000.0;3304000000.0
Other Cashflows From Investing Activities;221000000.0;355000000.0;100000000.0;388000000.0
Change To Account Receivables;-1969000000.0;4364000000.0;-5819000000.0;-2409000000.0
Other Cashflows From Financing Activities;-2264000000.0;-2916000000.0;-2923000000.0;-2602000000.0
Change To Netincome;3738000000.0;3991000000.0;3078000000.0;493000000.0
Capital Expenditures;-6828000000.0;-9786000000.0;-6383000000.0;-6819000000.0
