;2022-06-30;2022-03-31;2021-12-31;2021-09-30
Research Development;9841000000.0;9119000000.0;8708000000.0;7694000000.0
Effect Of Accounting Charges;;;;
Income Before Tax;19014000000.0;18934000000.0;24402000000.0;23064000000.0
Minority Interest;;;;
Net Income;16002000000.0;16436000000.0;20642000000.0;18936000000.0
Selling General Administrative;10287000000.0;9199000000.0;11744000000.0;8772000000.0
Gross Profit;39581000000.0;38412000000.0;42337000000.0;37497000000.0
Ebit;19453000000.0;20094000000.0;21885000000.0;21031000000.0
Operating Income;19453000000.0;20094000000.0;21885000000.0;21031000000.0
Other Operating Expenses;;;;
Interest Expense;-83000000.0;-83000000.0;-117000000.0;-77000000.0
Extraordinary Items;;;;
Non Recurring;;;;
Other Items;;;;
Income Tax Expense;3012000000.0;2498000000.0;3760000000.0;4128000000.0
Total Revenue;69685000000.0;68011000000.0;75325000000.0;65118000000.0
Total Operating Expenses;50232000000.0;47917000000.0;53440000000.0;44087000000.0
Cost Of Revenue;30104000000.0;29599000000.0;32988000000.0;27621000000.0
Total Other Income Expense Net;-439000000.0;-1160000000.0;2517000000.0;2033000000.0
Discontinued Operations;;;;
Net Income From Continuing Ops;16002000000.0;16436000000.0;20642000000.0;18936000000.0
Net Income Applicable To Common Shares;16002000000.0;16436000000.0;20642000000.0;18936000000.0
